time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-164.746297,-12.503595,47.030004,8.287697,0.831240,NaN,NaN,NaN
20200203T133457100,-164.852728,-12.659244,47.030002,8.287695,1.504080,NaN,NaN,NaN
20200203T133457200,-165.004771,-12.848245,47.030001,8.287693,2.311560,NaN,NaN,NaN
20200203T133457300,-165.164415,-12.992775,47.029999,8.287691,3.158280,NaN,NaN,NaN
20200203T133457400,-165.324059,-13.137304,47.029998,8.287689,3.901320,NaN,NaN,NaN
20200203T133457500,-165.506508,-13.281832,47.029997,8.287687,4.608720,NaN,NaN,NaN
20200203T133457600,-165.650948,-13.437480,47.029995,8.287685,5.415480,NaN,NaN,NaN
20200203T133457700,-165.795390,-13.637600,47.029993,8.287683,6.297480,NaN,NaN,NaN
20200203T133457800,-165.909424,-13.837720,47.029992,8.287681,7.059960,NaN,NaN,NaN
20200203T133457900,-166.053865,-14.004485,47.029990,8.287679,7.819920,NaN,NaN,NaN
20200203T133458000,-166.213509,-14.160133,47.029989,8.287677,7.819560,NaN,NaN,NaN
20200203T133458100,-166.395959,-14.315779,47.029987,8.287675,7.984440,NaN,NaN,NaN
20200203T133458200,-166.555602,-14.438072,47.029986,8.287673,7.854120,NaN,NaN,NaN
20200203T133458300,-166.700042,-14.582602,47.029985,8.287671,7.788600,NaN,NaN,NaN
20200203T133458400,-166.852085,-14.760485,47.029983,8.287669,7.918920,NaN,NaN,NaN
20200203T133458500,-166.996527,-14.960605,47.029982,8.287667,8.023320,NaN,NaN,NaN
20200203T133458600,-167.095356,-15.138490,47.029980,8.287666,7.898040,NaN,NaN,NaN
20200203T133458700,-167.270205,-15.305254,47.029978,8.287663,7.886160,NaN,NaN,NaN
20200203T133458800,-167.460257,-15.472019,47.029977,8.287661,8.027280,NaN,NaN,NaN
20200203T133458900,-167.650308,-15.605429,47.029976,8.287658,8.037000,NaN,NaN,NaN
20200203T133459000,-167.802350,-15.749958,47.029975,8.287656,7.960680,NaN,NaN,NaN
20200203T133459100,-167.954394,-15.938960,47.029973,8.287654,8.023680,NaN,NaN,NaN
20200203T133459200,-168.083632,-16.150198,47.029971,8.287653,8.236440,NaN,NaN,NaN
20200203T133459300,-168.212869,-16.328081,47.029969,8.287651,8.151840,NaN,NaN,NaN
20200203T133459400,-168.349709,-16.528201,47.029967,8.287649,8.111520,NaN,NaN,NaN
20200203T133459500,-168.516955,-16.683848,47.029966,8.287647,8.204040,NaN,NaN,NaN
20200203T133459600,-168.699406,-16.850612,47.029965,8.287645,8.365680,NaN,NaN,NaN
20200203T133459700,-168.859050,-16.995142,47.029963,8.287643,8.231040,NaN,NaN,NaN
20200203T133459800,-169.003491,-17.184143,47.029962,8.287641,8.178840,NaN,NaN,NaN
20200203T133459900,-169.132729,-17.395381,47.029960,8.287639,8.317440,NaN,NaN,NaN
20200203T133500000,-169.239161,-17.584383,47.029958,8.287638,8.333640,NaN,NaN,NaN
20200203T133500100,-169.307583,-17.762269,47.029956,8.287637,8.085960,NaN,NaN,NaN
20200203T133500200,-169.452025,-17.962388,47.029955,8.287635,8.061840,NaN,NaN,NaN
20200203T133500300,-169.604068,-18.140272,47.029953,8.287633,8.260920,NaN,NaN,NaN
