time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-169.383905,-9.512751,47.030031,8.287636,0.669960,NaN,NaN,NaN
20200203T133457100,-169.482734,-9.690636,47.030029,8.287634,1.296000,NaN,NaN,NaN
20200203T133457200,-169.581566,-9.912993,47.030027,8.287633,1.987560,NaN,NaN,NaN
20200203T133457300,-169.748814,-10.146467,47.030025,8.287631,2.860920,NaN,NaN,NaN
20200203T133457400,-169.916063,-10.357704,47.030023,8.287629,3.783600,NaN,NaN,NaN
20200203T133457500,-170.022494,-10.502235,47.030022,8.287627,4.518720,NaN,NaN,NaN
20200203T133457600,-170.136528,-10.691238,47.030020,8.287626,5.216760,NaN,NaN,NaN
20200203T133457700,-170.204950,-10.858006,47.030018,8.287625,5.790240,NaN,NaN,NaN
20200203T133457800,-170.356994,-11.069244,47.030017,8.287623,6.570360,NaN,NaN,NaN
20200203T133457900,-170.531845,-11.324953,47.030014,8.287621,7.525080,NaN,NaN,NaN
20200203T133458000,-170.661084,-11.536192,47.030012,8.287619,7.734960,NaN,NaN,NaN
20200203T133458100,-170.759914,-11.714077,47.030011,8.287618,7.952400,NaN,NaN,NaN
20200203T133458200,-170.851142,-11.891962,47.030009,8.287616,8.032680,NaN,NaN,NaN
20200203T133458300,-170.889156,-12.058731,47.030008,8.287616,7.754760,NaN,NaN,NaN
20200203T133458400,-170.972783,-12.247735,47.030006,8.287615,7.549560,NaN,NaN,NaN
20200203T133458500,-171.124827,-12.447855,47.030004,8.287613,7.690320,NaN,NaN,NaN
20200203T133458600,-171.231260,-12.659094,47.030002,8.287611,7.819560,NaN,NaN,NaN
20200203T133458700,-171.337692,-12.859215,47.030000,8.287610,8.038440,NaN,NaN,NaN
20200203T133458800,-171.451726,-13.048218,47.029999,8.287609,8.099280,NaN,NaN,NaN
20200203T133458900,-171.489742,-13.270577,47.029997,8.287608,7.960680,NaN,NaN,NaN
20200203T133459000,-171.535360,-13.481818,47.029995,8.287607,7.823520,NaN,NaN,NaN
20200203T133459100,-171.626588,-13.659703,47.029993,8.287606,7.756560,NaN,NaN,NaN
20200203T133459200,-171.740622,-13.859824,47.029992,8.287605,7.818480,NaN,NaN,NaN
20200203T133459300,-171.831850,-14.015473,47.029990,8.287603,7.908120,NaN,NaN,NaN
