xField[m],yField[m]
110.000000,0.000000
110.000000,72.000000
0.000000,72.000000
0.000000,0.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200201T180006000,52.376000,46.312974,47.032960,8.305286,0.009360,NaN,NaN,NaN
20200201T180006100,52.388306,46.318447,47.032959,8.305286,0.036000,NaN,NaN,NaN
20200201T180006200,52.453921,46.306420,47.032959,8.305286,0.144000,NaN,NaN,NaN
20200201T180006300,52.437531,46.340337,47.032959,8.305287,0.180720,NaN,NaN,NaN
20200201T180006400,52.352785,46.371326,47.032960,8.305287,0.271800,NaN,NaN,NaN
20200201T180006500,52.303560,46.349436,47.032960,8.305286,0.395280,NaN,NaN,NaN
20200201T180006600,52.285772,46.314055,47.032960,8.305286,0.486720,NaN,NaN,NaN
20200201T180006700,52.351415,46.363849,47.032960,8.305287,0.520560,NaN,NaN,NaN
20200201T180006800,52.373286,46.359840,47.032960,8.305287,0.568440,NaN,NaN,NaN
20200201T180006900,52.417002,46.290003,47.032959,8.305286,0.688680,NaN,NaN,NaN
20200201T180007000,52.422456,46.258091,47.032959,8.305285,0.754920,NaN,NaN,NaN
20200201T180007100,52.399242,46.316442,47.032959,8.305286,0.760320,NaN,NaN,NaN
20200201T180007200,52.386936,46.310970,47.032959,8.305286,0.709200,NaN,NaN,NaN
20200201T180007300,52.366434,46.322455,47.032960,8.305286,0.774360,NaN,NaN,NaN
20200201T180007400,52.324061,46.337950,47.032960,8.305286,0.793440,NaN,NaN,NaN
20200201T180007500,52.339108,46.358376,47.032960,8.305287,0.698760,NaN,NaN,NaN
20200201T180007600,52.386963,46.372790,47.032960,8.305287,0.701640,NaN,NaN,NaN
20200201T180007700,52.421141,46.374254,47.032959,8.305287,0.773280,NaN,NaN,NaN
20200201T180007800,52.363748,46.431142,47.032960,8.305288,0.795240,NaN,NaN,NaN
20200201T180007900,52.343247,46.442627,47.032960,8.305288,0.752040,NaN,NaN,NaN
20200201T180008000,52.351442,46.425669,47.032960,8.305287,0.724320,NaN,NaN,NaN
20200201T180008100,52.328200,46.422201,47.032960,8.305287,0.762120,NaN,NaN,NaN
20200201T180008200,52.373341,46.483480,47.032960,8.305288,0.767160,NaN,NaN,NaN
20200201T180008300,52.391129,46.518861,47.032960,8.305289,0.783720,NaN,NaN,NaN
20200201T180008400,52.422566,46.505371,47.032959,8.305289,0.731160,NaN,NaN,NaN
20200201T180008500,52.421223,46.559714,47.032960,8.305289,0.722520,NaN,NaN,NaN
20200201T180008600,52.403463,46.586153,47.032960,8.305290,0.694800,NaN,NaN,NaN
20200201T180008700,52.376109,46.560254,47.032960,8.305289,0.704160,NaN,NaN,NaN
20200201T180008800,52.397981,46.556245,47.032960,8.305289,0.682920,NaN,NaN,NaN
20200201T180008900,52.440381,46.602571,47.032959,8.305290,0.671040,NaN,NaN,NaN
20200201T180009000,52.464967,46.551696,47.032959,8.305289,0.648720,NaN,NaN,NaN
20200201T180009100,52.488209,46.555164,47.032959,8.305289,0.621720,NaN,NaN,NaN
20200201T180009200,52.449919,46.531270,47.032959,8.305289,0.699840,NaN,NaN,NaN
20200201T180009300,52.436215,46.456500,47.032959,8.305288,0.741600,NaN,NaN,NaN
20200201T180009400,52.412946,46.391212,47.032959,8.305287,0.840600,NaN,NaN,NaN
20200201T180009500,52.649423,46.324685,47.032957,8.305287,1.240920,NaN,NaN,NaN
