time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-166.668350,-9.668429,47.030029,8.287671,0.723960,NaN,NaN,NaN
20200203T133457100,-166.797586,-9.835193,47.030028,8.287670,1.434240,NaN,NaN,NaN
20200203T133457200,-166.896415,-10.013077,47.030026,8.287668,2.189520,NaN,NaN,NaN
20200203T133457300,-167.086466,-10.190958,47.030025,8.287666,3.068280,NaN,NaN,NaN
20200203T133457400,-167.246108,-10.324368,47.030023,8.287664,3.740760,NaN,NaN,NaN
20200203T133457500,-167.375344,-10.491133,47.030022,8.287662,4.473720,NaN,NaN,NaN
20200203T133457600,-167.542589,-10.657897,47.030020,8.287660,5.337000,NaN,NaN,NaN
20200203T133457700,-167.694633,-10.891368,47.030018,8.287658,6.211440,NaN,NaN,NaN
20200203T133457800,-167.823869,-11.091487,47.030016,8.287656,6.963840,NaN,NaN,NaN
20200203T133457900,-167.960707,-11.258251,47.030015,8.287654,7.756560,NaN,NaN,NaN
20200203T133458000,-168.127952,-11.425015,47.030013,8.287652,7.918920,NaN,NaN,NaN
20200203T133458100,-168.295198,-11.602897,47.030012,8.287650,8.015040,NaN,NaN,NaN
20200203T133458200,-168.424432,-11.714072,47.030011,8.287648,7.929000,NaN,NaN,NaN
20200203T133458300,-168.546063,-11.769658,47.030010,8.287647,7.774560,NaN,NaN,NaN
20200203T133458400,-168.682902,-11.958658,47.030009,8.287645,7.957800,NaN,NaN,NaN
20200203T133458500,-168.804537,-12.147659,47.030007,8.287643,7.953120,NaN,NaN,NaN
20200203T133458600,-168.926172,-12.347778,47.030005,8.287642,7.857720,NaN,NaN,NaN
20200203T133458700,-169.093417,-12.503423,47.030004,8.287639,7.848360,NaN,NaN,NaN
20200203T133458800,-169.268265,-12.703541,47.030002,8.287637,7.974360,NaN,NaN,NaN
20200203T133458900,-169.435509,-12.848068,47.030001,8.287635,7.921080,NaN,NaN,NaN
20200203T133459000,-169.595153,-13.037068,47.029999,8.287633,7.900560,NaN,NaN,NaN
20200203T133459100,-169.709186,-13.214951,47.029997,8.287631,7.983360,NaN,NaN,NaN
20200203T133459200,-169.846025,-13.426187,47.029995,8.287630,8.085960,NaN,NaN,NaN
20200203T133459300,-169.975262,-13.637423,47.029994,8.287628,8.141400,NaN,NaN,NaN
20200203T133459400,-170.134907,-13.848659,47.029992,8.287626,8.167680,NaN,NaN,NaN
