time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-161.355740,-10.502449,47.030022,8.287741,0.904320,NaN,NaN,NaN
20200203T133457100,-161.629413,-10.646976,47.030020,8.287738,1.944720,NaN,NaN,NaN
20200203T133457200,-161.872677,-10.802621,47.030019,8.287734,2.827440,NaN,NaN,NaN
20200203T133457300,-162.123544,-10.958266,47.030018,8.287731,3.805200,NaN,NaN,NaN
20200203T133457400,-162.328801,-11.158384,47.030016,8.287729,4.843080,NaN,NaN,NaN
20200203T133457500,-162.488446,-11.358503,47.030014,8.287726,5.771160,NaN,NaN,NaN
20200203T133457600,-162.670895,-11.480795,47.030013,8.287724,6.508800,NaN,NaN,NaN
20200203T133457700,-162.860947,-11.669796,47.030011,8.287721,7.494120,NaN,NaN,NaN
20200203T133457800,-163.066203,-11.847678,47.030010,8.287719,8.429760,NaN,NaN,NaN
20200203T133457900,-163.233448,-11.981089,47.030008,8.287717,9.236160,NaN,NaN,NaN
20200203T133458000,-163.415897,-12.114499,47.030007,8.287714,9.065160,NaN,NaN,NaN
20200203T133458100,-163.590745,-12.270146,47.030006,8.287712,8.881560,NaN,NaN,NaN
20200203T133458200,-163.765595,-12.481383,47.030004,8.287710,8.872920,NaN,NaN,NaN
20200203T133458300,-163.864423,-12.625914,47.030003,8.287708,8.579520,NaN,NaN,NaN
20200203T133458400,-164.008864,-12.814915,47.030001,8.287706,8.378640,NaN,NaN,NaN
20200203T133458500,-164.153305,-13.003917,47.029999,8.287705,8.314200,NaN,NaN,NaN
20200203T133458600,-164.297745,-13.148446,47.029998,8.287703,8.301960,NaN,NaN,NaN
20200203T133458700,-164.434583,-13.292976,47.029997,8.287701,7.981560,NaN,NaN,NaN
20200203T133458800,-164.563820,-13.448624,47.029995,8.287699,7.821000,NaN,NaN,NaN
20200203T133458900,-164.677853,-13.615391,47.029994,8.287698,7.808760,NaN,NaN,NaN
20200203T133459000,-164.753877,-13.793276,47.029992,8.287697,7.736760,NaN,NaN,NaN
20200203T133459100,-164.867910,-13.982278,47.029990,8.287695,7.650360,NaN,NaN,NaN
20200203T133459200,-165.019953,-14.149044,47.029989,8.287693,7.577280,NaN,NaN,NaN
20200203T133459300,-165.194801,-14.315808,47.029987,8.287691,7.649280,NaN,NaN,NaN
20200203T133459400,-165.362047,-14.471455,47.029986,8.287689,7.484760,NaN,NaN,NaN
20200203T133459500,-165.483682,-14.627103,47.029985,8.287687,7.372800,NaN,NaN,NaN
20200203T133459600,-165.620521,-14.827223,47.029983,8.287685,7.448400,NaN,NaN,NaN
20200203T133459700,-165.749758,-14.982871,47.029981,8.287683,7.429320,NaN,NaN,NaN
20200203T133459800,-165.886598,-15.182991,47.029980,8.287682,7.432920,NaN,NaN,NaN
20200203T133459900,-166.031038,-15.327520,47.029978,8.287680,7.508520,NaN,NaN,NaN
20200203T133500000,-166.236294,-15.527638,47.029977,8.287677,7.667280,NaN,NaN,NaN
20200203T133500100,-166.365531,-15.672168,47.029975,8.287675,7.560720,NaN,NaN,NaN
20200203T133500200,-166.509971,-15.827816,47.029974,8.287674,7.551000,NaN,NaN,NaN
20200203T133500300,-166.684820,-16.027934,47.029972,8.287671,7.677360,NaN,NaN,NaN
20200203T133500400,-166.753242,-16.183584,47.029971,8.287670,7.685640,NaN,NaN,NaN
20200203T133500500,-166.859673,-16.350350,47.029969,8.287669,7.600680,NaN,NaN,NaN
20200203T133500600,-167.042123,-16.528233,47.029968,8.287667,7.679880,NaN,NaN,NaN
20200203T133500700,-167.178963,-16.739470,47.029966,8.287665,7.953480,NaN,NaN,NaN
20200203T133500800,-167.376616,-16.861762,47.029965,8.287662,7.865280,NaN,NaN,NaN
20200203T133500900,-167.543863,-17.028527,47.029963,8.287660,7.844760,NaN,NaN,NaN
20200203T133501000,-167.688304,-17.206411,47.029961,8.287658,7.934040,NaN,NaN,NaN
20200203T133501100,-167.802337,-17.373177,47.029960,8.287657,8.022240,NaN,NaN,NaN
20200203T133501200,-167.916370,-17.528825,47.029959,8.287655,7.896960,NaN,NaN,NaN
20200203T133501300,-168.030403,-17.706710,47.029957,8.287653,7.848720,NaN,NaN,NaN
20200203T133501400,-168.228058,-17.906828,47.029955,8.287651,8.097840,NaN,NaN,NaN
20200203T133501500,-168.387703,-18.062475,47.029954,8.287649,8.183160,NaN,NaN,NaN
20200203T133501600,-168.547348,-18.240358,47.029952,8.287647,8.104680,NaN,NaN,NaN
20200203T133501700,-168.668984,-18.451596,47.029950,8.287645,8.083800,NaN,NaN,NaN
20200203T133501800,-168.798223,-18.685069,47.029948,8.287643,8.261640,NaN,NaN,NaN
20200203T133501900,-168.897052,-18.829600,47.029947,8.287642,8.065440,NaN,NaN,NaN
20200203T133502000,-168.995882,-19.040839,47.029945,8.287641,7.972200,NaN,NaN,NaN
20200203T133502100,-169.163130,-19.240957,47.029943,8.287639,8.137440,NaN,NaN,NaN
20200203T133502200,-169.330377,-19.418840,47.029942,8.287636,8.276760,NaN,NaN,NaN
20200203T133502300,-169.452012,-19.585606,47.029940,8.287635,8.152560,NaN,NaN,NaN
20200203T133502400,-169.588850,-19.719018,47.029939,8.287633,8.024760,NaN,NaN,NaN
20200203T133502500,-169.702885,-19.952492,47.029937,8.287631,8.109720,NaN,NaN,NaN
20200203T133502600,-169.801715,-20.130377,47.029935,8.287630,8.003520,NaN,NaN,NaN
20200203T133502700,-169.885341,-20.330498,47.029933,8.287629,7.806600,NaN,NaN,NaN
20200203T133502800,-170.029782,-20.508381,47.029932,8.287627,7.769880,NaN,NaN,NaN
20200203T133502900,-170.166622,-20.697383,47.029930,8.287625,7.937280,NaN,NaN,NaN
20200203T133503000,-170.303461,-20.864148,47.029929,8.287624,7.824600,NaN,NaN,NaN
20200203T133503100,-170.447902,-21.053149,47.029927,8.287622,7.693200,NaN,NaN,NaN
20200203T133503200,-170.561936,-21.231034,47.029925,8.287620,7.719480,NaN,NaN,NaN
20200203T133503300,-170.668369,-21.464508,47.029923,8.287619,7.876080,NaN,NaN,NaN
20200203T133503400,-170.729189,-21.631276,47.029922,8.287618,7.733880,NaN,NaN,NaN
20200203T133503500,-170.812815,-21.809161,47.029920,8.287617,7.666200,NaN,NaN,NaN
20200203T133503600,-170.949656,-22.031516,47.029918,8.287615,7.845480,NaN,NaN,NaN
20200203T133503700,-171.056088,-22.220519,47.029916,8.287614,7.905240,NaN,NaN,NaN
20200203T133503800,-171.154918,-22.409521,47.029915,8.287612,7.822440,NaN,NaN,NaN
20200203T133503900,-171.208136,-22.587407,47.029913,8.287612,7.782840,NaN,NaN,NaN
20200203T133504000,-171.268958,-22.798647,47.029911,8.287611,7.898040,NaN,NaN,NaN
20200203T133504100,-171.291769,-22.987651,47.029909,8.287611,7.798680,NaN,NaN,NaN
20200203T133504200,-171.314580,-23.176656,47.029908,8.287610,7.705800,NaN,NaN,NaN
20200203T133504300,-171.360195,-23.332306,47.029906,8.287610,7.555320,NaN,NaN,NaN
20200203T133504400,-171.421017,-23.554664,47.029904,8.287609,7.665840,NaN,NaN,NaN
20200203T133504500,-171.489440,-23.765903,47.029902,8.287608,7.655040,NaN,NaN,NaN
20200203T133504600,-171.588269,-23.910434,47.029901,8.287607,7.570440,NaN,NaN,NaN
20200203T133504700,-171.618683,-24.143910,47.029899,8.287606,7.640640,NaN,NaN,NaN
20200203T133504800,-171.603485,-24.332916,47.029897,8.287606,7.608960,NaN,NaN,NaN
20200203T133504900,-171.626296,-24.521921,47.029896,8.287606,7.543800,NaN,NaN,NaN
20200203T133505000,-171.633903,-24.722044,47.029894,8.287606,7.520400,NaN,NaN,NaN
20200203T133505100,-171.694726,-24.988873,47.029891,8.287605,7.690680,NaN,NaN,NaN
20200203T133505200,-171.770752,-25.244584,47.029889,8.287604,7.852680,NaN,NaN,NaN
20200203T133505300,-171.793564,-25.455825,47.029887,8.287604,8.007480,NaN,NaN,NaN
20200203T133505400,-171.793571,-25.711538,47.029885,8.287604,8.163720,NaN,NaN,NaN
20200203T133505500,-171.816383,-25.922779,47.029883,8.287604,8.210880,NaN,NaN,NaN
20200203T133505600,-171.823991,-26.145138,47.029881,8.287604,8.236080,NaN,NaN,NaN
20200203T133505700,-171.854405,-26.378614,47.029879,8.287603,8.281440,NaN,NaN,NaN
20200203T133505800,-171.915226,-26.578735,47.029877,8.287602,8.399880,NaN,NaN,NaN
